型式,行政區,場名,位置,緯度,經度,收費標準,大車,小車,機車,管理業者,聯絡電話,履約起迄
平面,甲仙區,甲仙林森,A區：林森路70號旁,23.082862,120.587988,小車計次(30元/6小時),0,35,0,歐特儀股份有限公司,903135731,113/04/01～119/03/31
-,-,-,B區：林森路75號旁,23.082262,120.587394,-,-,-,-,-,-,-
平面,杉林區,大愛園區,A區:清水路中學巷,22.96936,120.54251,-,27,120,0,環球大宇宙太陽能工業有限公司,980889269,110/06/01～120/04/30
-,-,-,B區:和氣街二巷1號對面,22.966443,120.542328,-,-,-,-,-,-,-
-,-,-,C區:合心路&互愛街,22.962941,120.539572,-,-,-,-,-,-,-
平面,美濃區,美濃泰安,A區：建美路&泰安路,22.902712,120.542015,小車計次(30元/6小時),10,106,13,歐特儀股份有限公司,903135731,-
-,-,-,B區：建美路&中山路一段,22.901584,120.542078,-,-,-,-,-,-,-
平面,旗山區,旗山體育場,旗山體育場旁,22.887265,120.480725,"小車平日計次(30元/6小時)
小車假日計時(15元/半小時)",0,20,0,歐特儀股份有限公司,903135731,113/10/01～119/03/31
平面,旗山區,旗山轉運站,旗山轉運站旁,22.884193,120.48476,"機車計次(15元/日)
小車計次(30元/6小時)",0,15,177,和雲行動服務股份有限公司,(02)25171453,109/04/01～114/03/31
平面,旗山區,旗山老街觀光,延平一路307巷59號對面,22.888282,120.485622,小車計次(30元/6小時),0,300,0,-,-,-
平面,大樹區,舊鐵橋,舊鐵橋濕地生態公園園區內,22.665424,120.427514,小車計次(30元/6小時),0,154,0,-,-,-
平面,大樹區,統嶺社區,佛光山寺對面,22.756314,120.448231,"小車平日計次(30元/6小時)
小車假日計時(15元/半小時)",0,1598,0,"佛光山寺
(公益認養)",-,-
平面,大樹區,九曲堂,久堂路＆新社街,22.658123,120.418761,小車計次(30元/6小時),0,46,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,阿蓮區,如意公園,台19甲大崗山意象園區入,22.852038,120.33422,小車計次(30元/6小時),10,265,187,俥亭事業股份有限公司,（07)5314002,112/11/01～117/10/31
平面,阿蓮區,南蓮,消防局第五大隊第一中隊阿蓮分隊旁,22.879128,120.329948,小車計次(30元/6小時),0,26,0,俥亭事業股份有限公司,(07)5314002,112/11/01～117/10/31
平面,阿蓮區,德宜,文學一街&成功街(柏園公園隔壁),22.884719,120.332282,小車計次(30元/6小時),0,36,0,俥亭事業股份有限公司,(07)5314002,112/11/01～117/10/31
平面,湖內區,長壽路,長壽路128號對面,22.884879,120.242858,小車計次(30元/6小時),0,28,0,俥亭事業股份有限公司,(07)5314002,112/09/01～117/08/31
